Ref,Val,Package,PosX,PosY,Rot,Side
"C2","C_Polarized","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",38.100000,-50.546000,0.000000,bottom
"J3","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical_LARGER_HOLES",36.830000,-60.960000,-90.000000,bottom
"SW1","SW_SPDT","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",27.083000,-20.542000,0.000000,bottom
"SW2","SW_SPST","SW_SPST_EVQP7C",43.180000,-27.570000,0.000000,bottom
"SW3","SW_SPST","SW_SPST_EVQP7C",37.465000,-27.570000,0.000000,bottom
